anexo,descricao_tabela,porte,potencial_poluidor,tlp_ufar,tli_ufar,tlo_ufar,fonte,tlp_upfs,tli_upfs,tlo_upfs
ANEXOXVI,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITEM15doANEXOI.",Grande,Alto,34.0,114.0,342.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXVI,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITEM15doANEXOI.",Excepcional,Alto,46.0,228.0,456.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXVII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM18doANEXOI",Mínimo,Baixo,6.0,6.0,6.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXVII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM18doANEXOI",Mínimo,Médio,11.0,11.0,34.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXVII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM18doANEXOI",Mínimo,Alto,11.0,46.0,91.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXVII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM18doANEXOI",Pequeno,Baixo,9.0,9.0,21.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXVII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM18doANEXOI",Pequeno,Médio,11.0,23.0,68.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXVII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM18doANEXOI",Pequeno,Alto,12.0,68.0,137.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXVII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM18doANEXOI",Pequeno,Médio,12.0,29.0,57.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXVII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM18doANEXOI",Pequeno,Médio,12.0,52.0,138.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXVII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM18doANEXOI",Pequeno,Alto,12.0,92.0,194.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXVII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM18doANEXOI",Grande,Baixo,12.0,40.0,114.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXVII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM18doANEXOI",Grande,Médio,12.0,68.0,206.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXVII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM18doANEXOI",Grande,Alto,12.0,114.0,262.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXVII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM18doANEXOI",Excepcional,Baixo,12.0,63.0,171.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXVII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM18doANEXOI",Excepcional,Médio,12.0,115.0,273.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXVII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM18doANEXOI",Excepcional,Alto,12.0,172.0,342.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXVIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITEM19doANEXOI.",Mínimo,Médio,2.0,6.0,9.0,Ariquemes Lei 2.349/2019 (Anexos),,,
